Country.Region;Date;Confirmed;Deaths;Recovered;day;
1;Spain;1/22/20;0;0;0;1
2;Spain;1/23/20;0;0;0;2
3;Spain;1/24/20;0;0;0;3
4;Spain;1/25/20;0;0;0;4
5;Spain;1/26/20;0;0;0;5
6;Spain;1/27/20;0;0;0;6
7;Spain;1/28/20;0;0;0;7
8;Spain;1/29/20;0;0;0;8
9;Spain;1/30/20;0;0;0;9
10;Spain;1/31/20;0;0;0;10
11;Spain;02/01/2020;1;0;0;11
12;Spain;02/02/2020;1;0;0;12
13;Spain;02/03/2020;1;0;0;13
14;Spain;02/04/2020;1;0;0;14
15;Spain;02/05/2020;1;0;0;15
16;Spain;02/06/2020;1;0;0;16
17;Spain;02/07/2020;1;0;0;17
18;Spain;02/08/2020;1;0;0;18
19;Spain;02/09/2020;2;0;0;19
20;Spain;02/10/2020;2;0;0;20
21;Spain;02/11/2020;2;0;0;21
22;Spain;02/12/2020;2;0;0;22
23;Spain;2/13/20;2;0;0;23
24;Spain;2/14/20;2;0;0;24
25;Spain;2/15/20;2;0;2;25
26;Spain;2/16/20;2;0;2;26
27;Spain;2/17/20;2;0;2;27
28;Spain;2/18/20;2;0;2;28
29;Spain;2/19/20;2;0;2;29
30;Spain;2/20/20;2;0;2;30
31;Spain;2/21/20;2;0;2;31
32;Spain;2/22/20;2;0;2;32
33;Spain;2/23/20;2;0;2;33
34;Spain;2/24/20;2;0;2;34
35;Spain;2/25/20;6;0;2;35
36;Spain;2/26/20;13;0;2;36
37;Spain;2/27/20;15;0;2;37
38;Spain;2/28/20;32;0;2;38
39;Spain;2/29/20;45;0;2;39
40;Spain;03/01/2020;84;0;2;40
41;Spain;03/02/2020;120;0;2;41
42;Spain;03/03/2020;165;1;2;42
43;Spain;03/04/2020;222;2;2;43
44;Spain;03/05/2020;259;3;2;44
45;Spain;03/06/2020;400;5;2;45
46;Spain;03/07/2020;500;10;30;46
47;Spain;03/08/2020;673;17;30;47
48;Spain;03/09/2020;1073;28;32;48
49;Spain;03/10/2020;1695;35;32;49
50;Spain;03/11/2020;2277;54;183;50
51;Spain;03/12/2020;2277;55;183;51
52;Spain;3/13/20;5232;133;193;52
53;Spain;3/14/20;6391;195;517;53
54;Spain;3/15/20;7798;289;517;54
55;Spain;3/16/20;9942;342;530;55
56;Spain;3/17/20;11748;533;1028;56
57;Spain;3/18/20;13910;623;1081;57
58;Spain;3/19/20;17963;830;1107;58
59;Spain;3/20/20;20410;1043;1588;59
